,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
49,SPXW250310P05410000,2025-03-07 20:58:49+00:00,5410.0,0.15,0.1,0.2,0.15,,504.0,156.0,0.33447931152343746,False,REGULAR,USD
50,SPXW250310P05415000,2025-03-07 21:10:20+00:00,5415.0,0.15,0.1,0.2,0.15,,78.0,,0.33008482421874996,False,REGULAR,USD
51,SPXW250310P05420000,2025-03-07 21:10:18+00:00,5420.0,0.15,0.1,0.2,0.15,,712.0,924.0,0.32569033691406246,False,REGULAR,USD
52,SPXW250310P05425000,2025-03-07 21:14:55+00:00,5425.0,0.15,0.1,0.2,-1.5500001,-91.176476,2632.0,612.0,0.3215399877929687,False,REGULAR,USD
53,SPXW250310P05430000,2025-03-07 21:14:51+00:00,5430.0,0.15,0.1,0.2,0.15,,1502.0,155.0,0.317389638671875,False,REGULAR,USD
54,SPXW250310P05435000,2025-03-07 20:42:48+00:00,5435.0,0.3,0.1,0.25,0.3,,238.0,186.0,0.32080757324218745,False,REGULAR,USD
55,SPXW250310P05440000,2025-03-07 21:05:46+00:00,5440.0,0.15,0.1,0.25,0.15,,462.0,96.0,0.31641308593749995,False,REGULAR,USD
56,SPXW250310P05445000,2025-03-07 21:03:04+00:00,5445.0,0.15,0.1,0.25,0.15,,134.0,32.0,0.31201859863281245,False,REGULAR,USD
57,SPXW250310P05450000,2025-03-07 21:14:36+00:00,5450.0,0.2,0.15,0.25,-2.05,-91.111115,6180.0,2203.0,0.30762411132812495,False,REGULAR,USD
58,SPXW250310P05455000,2025-03-07 21:06:24+00:00,5455.0,0.2,0.15,0.3,0.2,,1696.0,410.0,0.309577216796875,False,REGULAR,USD
59,SPXW250310P05460000,2025-03-07 21:11:18+00:00,5460.0,0.2,0.15,0.3,0.2,,848.0,75.0,0.3051827294921875,False,REGULAR,USD
60,SPXW250310P05465000,2025-03-07 21:10:02+00:00,5465.0,0.2,0.15,0.3,0.2,,256.0,272.0,0.3007882421875,False,REGULAR,USD
61,SPXW250310P05470000,2025-03-07 20:56:21+00:00,5470.0,0.15,0.15,0.3,0.15,,483.0,449.0,0.29614961669921874,False,REGULAR,USD
62,SPXW250310P05475000,2025-03-07 21:09:28+00:00,5475.0,0.2,0.15,0.3,-2.7,-93.10345,2435.0,1294.0,0.29175512939453113,False,REGULAR,USD
63,SPXW250310P05480000,2025-03-07 21:14:06+00:00,5480.0,0.2,0.2,0.35,0.2,,818.0,545.0,0.29273168212890616,False,REGULAR,USD
64,SPXW250310P05485000,2025-03-07 21:09:59+00:00,5485.0,0.22,0.2,0.35,0.22,,1568.0,67.0,0.2880930566406249,False,REGULAR,USD
65,SPXW250310P05490000,2025-03-07 21:03:48+00:00,5490.0,0.25,0.2,0.35,0.25,,503.0,179.0,0.28357650024414055,False,REGULAR,USD
66,SPXW250310P05495000,2025-03-07 21:10:12+00:00,5495.0,0.27,0.2,0.35,0.27,,1122.0,86.0,0.2790599438476562,False,REGULAR,USD
67,SPXW250310P05500000,2025-03-07 21:14:49+00:00,5500.0,0.27,0.25,0.4,-3.49,-92.819145,10257.0,2677.0,0.2790599438476562,False,REGULAR,USD
